2048 x 2048 sparse matrix, nnz = 7022
(217,871)	9.0
(217,898)	6.0
(217,973)	6.0
(218,605)	106.0
(218,672)	6.0
(218,772)	10.0
(218,923)	3.0
(219,605)	3.0
(219,639)	9.0
(219,670)	3.0
(219,671)	12.0
(219,771)	12.0
(219,807)	213.0
(219,813)	6.0
(219,911)	6.0
(219,1075)	110.0
(220,596)	3.0
(220,638)	20.0
(220,639)	3.0
(220,910)	3.0
(220,979)	32.0
(220,1064)	3.0
(221,637)	100.0
(221,818)	6.0
(221,904)	3.0
(221,908)	3.0
(221,922)	16.0
(221,982)	16.0
(222,622)	3.0
(222,628)	6.0
(222,677)	3.0
(222,808)	3.0
(222,821)	3.0
(222,922)	3.0
(223,593)	6.0
(223,622)	3.0
(223,635)	15.0
(223,808)	3.0
(223,920)	6.0
(223,987)	3.0
(223,1016)	3.0
(223,1067)	6.0
(224,591)	3.0
(224,605)	10.0
(224,622)	3.0
(224,665)	3.0
(224,822)	18.0
(224,823)	6.0
(224,835)	3.0
(224,836)	6.0
(224,837)	16.0
(224,864)	3.0
(224,987)	103.0
(224,988)	3.0
(224,989)	126.0
(224,1019)	3.0
(224,1081)	3.0
(225,12)	3.0
(225,606)	29.0
(225,629)	3.0
(225,633)	3.0
(225,663)	10.0
(225,809)	3.0
(225,810)	3.0
(225,824)	29.0
(225,825)	15.0
(225,826)	6.0
(225,831)	3.0
(225,838)	12.0
(225,991)	6.0
(225,1070)	3.0
(226,15)	3.0
(226,596)	3.0
(226,606)	9.0
(226,663)	3.0
(226,682)	3.0
(226,811)	3.0
(226,829)	9.0
(226,830)	18.0
(226,831)	3.0
(226,839)	6.0
(226,926)	3.0
(227,606)	6.0
(227,621)	3.0
(227,661)	3.0
(227,799)	3.0
(227,863)	9.0
(228,629)	3.0
(228,632)	6.0
(228,660)	3.0
(228,677)	3.0
(228,840)	3.0
(228,916)	3.0
(228,1070)	9.0
(228,1073)	3.0
(229,599)	3.0
(229,629)	3.0
(229,631)	6.0
(229,658)	9.0
(229,666)	3.0
(229,812)	6.0
(229,840)	6.0
(229,1075)	6.0
(230,607)	3.0
(230,622)	6.0
(230,631)	6.0
(230,841)	15.0
(230,861)	6.0
(230,919)	6.0
(230,1069)	3.0
(230,1070)	9.0
(230,1076)	12.0
(231,629)	9.0
(231,655)	6.0
(231,697)	9.0
(231,841)	6.0
(231,859)	12.0
(231,1068)	23.0
(231,1078)	10.0
(232,600)	3.0
(232,814)	6.0
(232,842)	3.0
(232,858)	3.0
(232,917)	3.0
(232,1003)	15.0
(232,1067)	3.0
(233,608)	20.0
(233,622)	3.0
(233,640)	3.0
(233,856)	6.0
(233,933)	3.0
(233,1003)	27.0
(234,629)	3.0
(234,638)	3.0
(234,665)	3.0
(234,677)	3.0
(234,815)	3.0
(234,854)	3.0
(234,934)	6.0
(234,1005)	3.0
(234,1141)	9.0
(235,624)	3.0
(235,625)	3.0
(235,629)	6.0
(235,844)	15.0
(235,1006)	6.0
(236,623)	9.0
