geometry,time,area_ardida,f
POINT(-8.84178062873798 37.2401241295251),2001-04-23 00:00:00,1.215,2
POINT(-8.84178062873798 37.5702720402889),2001-04-23 00:00:00,0.0002,2
POINT(-8.84178062873798 37.9004199510528),2001-04-23 00:00:00,0.05,1
POINT(-8.84178062873798 38.2305678618166),2001-04-23 00:00:00,7.5,2
POINT(-8.84178062873798 39.2210115941081),2001-04-23 00:00:00,0.005,1
POINT(-8.84178062873798 39.5511595048719),2001-04-23 00:00:00,1.0001,2
POINT(-8.84178062873798 40.8717511479272),2001-04-23 00:00:00,0.12,3
POINT(-8.84178062873798 41.201899058691),2001-04-23 00:00:00,0.15,1
POINT(-8.84178062873798 41.5320469694549),2001-04-23 00:00:00,0.05,1
POINT(-8.84178062873798 41.8621948802187),2001-04-23 00:00:00,0.5,1
POINT(-8.51163271797415 37.9004199510528),2001-04-23 00:00:00,0.5001,2
POINT(-8.51163271797415 39.2210115941081),2001-04-23 00:00:00,8.595,7
POINT(-8.51163271797415 39.5511595048719),2001-04-23 00:00:00,0.5,1
POINT(-8.51163271797415 39.8813074156357),2001-04-23 00:00:00,0.01,1
POINT(-8.51163271797415 40.2114553263995),2001-04-23 00:00:00,0.015,1
POINT(-8.51163271797415 40.5416032371634),2001-04-23 00:00:00,1.2,1
POINT(-8.51163271797415 40.8717511479272),2001-04-23 00:00:00,0.16,3
POINT(-8.51163271797415 41.201899058691),2001-04-23 00:00:00,0.34,5
POINT(-8.51163271797415 41.5320469694549),2001-04-23 00:00:00,2,1
POINT(-8.18148480721032 39.8813074156357),2001-04-23 00:00:00,0.1,1
POINT(-8.18148480721032 40.2114553263995),2001-04-23 00:00:00,1.25,5
POINT(-8.18148480721032 40.8717511479272),2001-04-23 00:00:00,0.2,1
POINT(-8.18148480721032 41.201899058691),2001-04-23 00:00:00,0.55,2
POINT(-8.18148480721032 41.5320469694549),2001-04-23 00:00:00,0.13,3
POINT(-7.8513368964465 36.9099762187613),2001-04-23 00:00:00,0.2,1
POINT(-7.8513368964465 38.8908636833443),2001-04-23 00:00:00,0.0001,1
POINT(-7.8513368964465 39.8813074156357),2001-04-23 00:00:00,0.05,1
POINT(-7.8513368964465 40.8717511479272),2001-04-23 00:00:00,0.5,1
POINT(-7.8513368964465 41.201899058691),2001-04-23 00:00:00,0.02,2
POINT(-7.8513368964465 41.5320469694549),2001-04-23 00:00:00,1.5,1
POINT(-7.52118898568267 39.2210115941081),2001-04-23 00:00:00,0.0001,1
POINT(-7.52118898568267 39.5511595048719),2001-04-23 00:00:00,0.02,1
POINT(-7.52118898568267 40.8717511479272),2001-04-23 00:00:00,0.52,2
POINT(-7.52118898568267 41.201899058691),2001-04-23 00:00:00,0.4,2
POINT(-7.19104107491884 41.201899058691),2001-04-23 00:00:00,1.5,2
POINT(-7.19104107491884 41.8621948802187),2001-04-23 00:00:00,1,1
POINT(-6.86089316415502 40.8717511479272),2001-04-23 00:00:00,2,1
POINT(-6.86089316415502 41.5320469694549),2001-04-23 00:00:00,1.01,2
POINT(-6.53074525339119 41.5320469694549),2001-04-23 00:00:00,1,1
