geometry;name;time;tipos_vias;f_atmosfericos;fleves;fgraves;mortos;f
14;PORTO;16/11/2009 00:00;A  - Auto-Estrada;Chuva;2;0;1;1
8;EVORA;01/11/2010 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;2
12;LISBOA;24/01/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;6
15;SANTAREM;12/05/2008 00:00;EN - Estrada Nacional;Chuva;0;1;0;1
7;COIMBRA;27/08/2007 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;1
4;BRAGA;26/03/2007 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;4
8;EVORA;06/06/2011 00:00;ER - Estrada Regional;Bom tempo;1;0;0;1
14;PORTO;21/04/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;4
16;SETUBAL;20/12/2010 00:00;A  - Auto-Estrada;Chuva;1;1;0;1
9;FARO;12/11/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;5
5;BRAGANCA;01/10/2007 00:00;IP- Itinerário Principal;Bom tempo;1;0;0;1
14;PORTO;11/02/2008 00:00;EN - Estrada Nacional;NÃO DEFINIDO;1;0;0;1
2;AVEIRO;15/06/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
12;LISBOA;26/03/2012 00:00;PNT - Ponte;Chuva;2;0;0;1
9;FARO;28/07/2008 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;1
3;BEJA;25/02/2008 00:00;IP- Itinerário Principal;Bom tempo;1;0;0;2
14;PORTO;23/06/2008 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
16;SETUBAL;21/12/2009 00:00;EN - Estrada Nacional;Bom tempo;4;1;0;1
16;SETUBAL;27/10/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;5
16;SETUBAL;30/04/2012 00:00;EN - Estrada Nacional;Chuva;0;1;0;1
7;COIMBRA;23/01/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
9;FARO;26/12/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
4;BRAGA;27/10/2008 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
8;EVORA;23/07/2012 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;1
3;BEJA;13/02/2012 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;1
15;SANTAREM;22/12/2008 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
18;VILA REAL;19/09/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
19;VISEU;27/07/2009 00:00;EN - Estrada Nacional;Bom tempo;6;0;0;1
16;SETUBAL;01/08/2011 00:00;IC - Itinerário Complementar;NÃO DEFINIDO;2;1;0;1
15;SANTAREM;04/06/2012 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
4;BRAGA;06/08/2007 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;1
